u,v,weight
STIM1,TRPC1,1.0
STIM1,ATP2B4,1.0
STIM1,HEXB,1.0
STIM1,SEC22B,1.0
STIM1,CAV1,1.0
STIM1,CDH1,1.0
STIM1,IFNGR1,1.0
STIM1,RNF4,1.0
STIM1,SF1,1.0
STIM1,HAUS1,1.0
STIM1,EFTUD2,1.0
STIM1,CAT,1.0
STIM1,RSL1D1,1.0
STIM1,PDIA3,1.0
STIM1,IL17RB,1.0
STIM1,ATP2C1,1.0
STIM1,PRKAA2,1.0
STIM1,KRIT1,1.0
STIM1,SLC39A9,1.0
STIM1,MAPRE1,1.0
STIM1,TMEM17,1.0
STIM1,ORAI1,1.0
STIM1,SLC7A1,1.0
STIM1,SEPT11,1.0
STIM1,TCTN2,1.0
STIM1,CRACR2A,1.0
STIM1,HLA-DRA,1.0
STIM1,SARAF,1.0
STIM1,ORAI3,1.0
STIM1,STIM2,1.0
STIM1,TCTN3,1.0
STIM1,EVC2,1.0
STIM1,S100A16,1.0
STIM1,PTPRN2,1.0
STIM1,ORAI2,1.0
STIM1,TRPV4,1.0
STIM1,CD1E,1.0
STIM1,GABRE,1.0
STIM1,TMEM216,1.0
STIM1,LRRTM1,1.0
TRPC1,TNFRSF1A,1.0
TRPC1,GRIA1,1.0
TRPC1,ITPR1,1.0
TRPC1,CAV1,1.0
TRPC1,BMPR2,1.0
TRPC1,RHOA,1.0
TRPC1,ITPR3,1.0
TRPC1,PKD2,1.0
TRPC1,TRPC3,1.0
TRPC1,ORAI1,1.0
TRPC1,GRM1,1.0
TRPC1,ITPR2,1.0
TRPC1,TRPC4,1.0
TRPC1,HOMER1,1.0
TRPC1,TRPC6,1.0
TRPC1,TRPC5,1.0
NOS1,ATP2B4,1.0
NOS1,PPP3R1,1.0
NOS1,PTPN6,1.0
NOS1,STUB1,1.0
NOS1,EGR1,1.0
NOS1,PRKCA,1.0
NOS1,PFKM,1.0
NOS1,HSP90AA1,1.0
NOS1,DLG4,1.0
NOS1,SNTA1,1.0
NOS1,CALM3,1.0
NOS1,BDKRB2,1.0
NOS1,CTBP1,1.0
NOS1,PRKD1,1.0
NOS1,HSPA4,1.0
NOS1,ADRB2,1.0
NOS1,PRKACA,1.0
NOS1,ADRB1,1.0
NOS1,UBC,1.0
NOS1,DYNLL1,1.0
NOS1,ADRA1D,1.0
NOS1,CAMK2A,1.0
NOS1,VAC14,1.0
NOS1,HMOX1,1.0
NOS1,ADRA1B,1.0
NOS1,DLGAP2,1.0
NOS1,CKAP4,1.0
NOS1,SYN1,1.0
NOS1,RASD1,1.0
NOS1,NOSIP,1.0
NOS1,DLG2,1.0
NOS1,ADRA1A,1.0
NOS1,PRKG2,1.0
NOS1,DMD,1.0
NOS1,CAMK1,1.0
NOS1,GRIN2A,1.0
NOS1,CAV3,1.0
NOS1,CAMK4,1.0
NOS1,ARG1,1.0
ATP2B4,EGFR,1.0
ATP2B4,SRC,1.0
ATP2B4,CANX,1.0
ATP2B4,EDA2R,1.0
ATP2B4,BSG,1.0
ATP2B4,HTR3A,1.0
ATP2B4,CDH1,1.0
ATP2B4,CFTR,1.0
ATP2B4,NOS3,1.0
ATP2B4,GPC1,1.0
ATP2B4,CALM3,1.0
ATP2B4,DLG1,1.0
ATP2B4,AGTR1,1.0
ATP2B4,ERBIN,1.0
ATP2B4,CD22,1.0
ATP2B4,ATP1A1,1.0
ATP2B4,ADRB2,1.0
ATP2B4,LILRB4,1.0
ATP2B4,C3AR1,1.0
ATP2B4,KCNA5,1.0
ATP2B4,ATP2B2,1.0
ATP2B4,CALM2,1.0
ATP2B4,PTGER3,1.0
ATP2B4,TMEM52B,1.0
ATP2B4,TMEM17,1.0
ATP2B4,ATP5PF,1.0
ATP2B4,FAM174A,1.0
ATP2B4,NMUR2,1.0
ATP2B4,HM13,1.0
ATP2B4,APLNR,1.0
ATP2B4,FPR2,1.0
ATP2B4,SLC39A4,1.0
ATP2B4,CLGN,1.0
ATP2B4,LYPD3,1.0
ATP2B4,LPAR1,1.0
ATP2B4,DLK1,1.0
ATP2B4,ATP9A,1.0
ATP2B4,TAS2R7,1.0
ATP2B4,PCDHGB1,1.0
ATP2B4,CYP2B6,1.0
ABCC9,KCNJ11,1.0
ABCC9,STX1A,1.0
ABCC9,KCNJ8,1.0
KCNJ11,YWHAB,1.0
KCNJ11,LDHA,1.0
KCNJ11,AP2M1,1.0
KCNJ11,IL17RC,1.0
KCNJ11,KCNJ2,1.0
KCNJ11,CDH5,1.0
KCNJ11,EXOSC8,1.0
KCNJ11,ANK2,1.0
KCNJ11,KCNJ8,1.0
KCNJ11,GDPD5,1.0
KCNJ11,ABCC8,1.0
KCNJ11,TRPM8,1.0
KCNJ11,PCDHB16,1.0
KCNJ11,SLC17A2,1.0
KCNJ11,PCDHAC2,1.0
HADHA,HADHB,1.0
HADHA,ATF2,1.0
HADHA,PIN1,1.0
HADHA,CSNK2A2,1.0
HADHA,WWOX,1.0
HADHA,TNFRSF1A,1.0
HADHA,RAD18,1.0
HADHA,RIPK3,1.0
HADHA,TRAF6,1.0
HADHA,CAPZA2,1.0
HADHA,CAND1,1.0
HADHA,SQSTM1,1.0
HADHA,NFKB2,1.0
HADHA,MYC,1.0
HADHA,CDK2,1.0
HADHA,CD74,1.0
HADHA,EGR1,1.0
HADHA,PAN2,1.0
HADHA,REL,1.0
HADHA,HSD17B10,1.0
HADHA,NFATC2,1.0
HADHA,NTRK1,1.0
HADHA,PTPN2,1.0
HADHA,PARK7,1.0
HADHA,HDAC5,1.0
HADHA,TUBG1,1.0
HADHA,SKI,1.0
HADHA,CXCR4,1.0
HADHA,YWHAQ,1.0
HADHA,BTK,1.0
HADHA,MSN,1.0
HADHA,FBXW7,1.0
HADHA,MAP3K1,1.0
HADHA,PSMD4,1.0
HADHA,IKBKE,1.0
HADHA,TNIP2,1.0
HADHA,ZFR,1.0
HADHA,EMD,1.0
HADHA,GABARAPL2,1.0
HADHA,UBC,1.0
HADHA,NR4A1,1.0
HADHA,EFTUD2,1.0
HADHA,ATXN2L,1.0
HADHA,HGS,1.0
HADHA,EGLN3,1.0
HADHA,CDC34,1.0
HADHA,MAP1LC3A,1.0
HADHA,ATL3,1.0
HADHA,GABARAP,1.0
