u,v,weight
DTX3,UBE2D4,1.0
DTX3,RNF114,1.0
DTX3,CHFR,1.0
DTX3,XIAP,1.0
DTX3,DTX1,1.0
DTX3,RNF38,1.0
DTX3,GRB2,1.0
DTX3,BAG3,1.0
DTX3,UBE2H,1.0
DTX3,UEVLD,1.0
DTX3,NMD3,1.0
DTX3,UBE2D1,1.0
DTX3,UBE2W,1.0
DTX3,UBE2D3,1.0
DTX3,UBE2D2,1.0
DTX3,TRAF4,1.0
DTX3,UBE2E3,1.0
DTX3,UBE2E1,1.0
DTX3,PARP11,1.0
DTX3,FAM90A1,1.0
DTX3,NCK2,1.0
DTX3,USP21,1.0
DTX3,USP2,1.0
DTX3,NDUFAF5,1.0
DTX3,YES1,1.0
DTX3,USP1,1.0
DTX3,UBE2K,1.0
DTX3,CIAO3,1.0
DTX3,UBE2L6,1.0
DTX3,LYN,1.0
DTX3,ZDHHC17,1.0
DTX3,MAPK9,1.0
DTX3,FARSB,1.0
DTX3,TMEM189-UBE2V1,1.0
DTX3,UBE2V1,1.0
DTX3,ZMYND19,1.0
DTX3,NDUFS6,1.0
DTX3,UBE2E2,1.0
DTX3,EPM2AIP1,1.0
DTX3,UBE2L3,1.0
DTX3,PTK6,1.0
DTX3,NFKBID,1.0
DTX3,RNF141,1.0
UBE2D4,PROP1,1.0
UBE2D4,MAGEA11,1.0
UBE2D4,TRIM39,1.0
UBE2D4,RNF115,1.0
UBE2D4,TRIM2,1.0
UBE2D4,UBB,1.0
UBE2D4,MID1,1.0
UBE2D4,RNF5,1.0
UBE2D4,UBA52,1.0
UBE2D4,INCA1,1.0
UBE2D4,ARIH2,1.0
UBE2D4,TRIM54,1.0
UBE2D4,TRIM62,1.0
UBE2D4,MKRN2,1.0
UBE2D4,LNX1,1.0
UBE2D4,MCM2,1.0
UBE2D4,SIAH1,1.0
UBE2D4,TRIM8,1.0
UBE2D4,UBE4A,1.0
UBE2D4,TRAF7,1.0
UBE2D4,RNF185,1.0
UBE2D4,RNF130,1.0
UBE2D4,RNF13,1.0
UBE2D4,RNF165,1.0
UBE2D4,MID2,1.0
UBE2D4,DTX2,1.0
UBE2D4,TRIM50,1.0
UBE2D4,LRSAM1,1.0
UBE2D4,TRIM31,1.0
UBE2D4,RNF10,1.0
UBE2D4,RNF126,1.0
UBE2D4,UBTD1,1.0
UBE2D4,TRIM25,1.0
UBE2D4,RFWD3,1.0
UBE2D4,TOPORS,1.0
UBE2D4,RNF114,1.0
UBE2D4,RBCK1,1.0
UBE2D4,MKRN1,1.0
UBE2D4,OTUB1,1.0
UBE2D4,UFL1,1.0
UBE2D4,RNF43,1.0
